Tweet
"Issuance of admit card ?"
issue the admit card
"it has been days i havent got my admit slip."
I've submitted application fee but have not received my admit card yet.
i've submitted form still i'not received admit card
I've submitted my fee in but my admit card is still not available.
Kindlly upload my Admit Card
"Kindly dispatch my Admit Card as I have paid Processing i.e. Rs. 3500 and also get verified by ma'am Shaheen at NBP NED branch karachi. My voucher number is ""2819"""
kindly give me admit card as soon as possible
Kindly inform me  How I can get my admit card I have paid chalan   still it is required in fee submission option.
kindly inform when the admit card will be issued
kindly issue me admit card
"Kindly upload my admit card"
kindly upload my admit card.
Kitna time lage ga admit card ane mai
mera Admit Card kab tak show hoga :-
Mera admit card kb upload hoga????
Mera Admit card nhi aya
Mera admit card show Q nhi ho raha..??
mera admitcard abhe tak nh aya 9 ko fee paid krai the
admit card issued automatically ? ?
after how much time of the fee submission does the admit card come ? 
